teacher_prefix,school_state,project_grade_category,project_subject_categories,project_subject_subcategories,project_title,project_essay_1,project_resource_summary,teacher_number_of_previously_posted_projects,project_is_approved
Ms.,OR,Grades 6-8,Literacy & Language,Literacy,Seeing Ourselves in Our Books,"In a city rife with gentrification and exclusion, our school serves as a bastion of culture and language unlike any other in the district.  Like so many Title I schools across the nation, it is underfunded, but what we lack in dollars we more than make up for in spirit, and the kiddos in our building - from Kindergarten to 8th Grade - are fiercely loved and advocated for.\r\n\r\nMy students are justice-seekers and are resilient in ways I can't even begin to describe.  They are thoughtful and goal-oriented and hardworking.  They come from all over the globe and the city to attend our school because it feels like home to them; many have been coming for generations.  It is not uncommon to hear from parents about their own experiences within our walls as they drop their new middle school kiddo off on the first day of class.  Students speak a wonderful array of languages and bring their whole selves into the classroom.  Most don't believe they are readers, but I beg to differ.  I would argue that they just haven't found the right books yet.",My students need class sets of culturally relevant and engaging novels.,0,0
Mrs.,CA,Grades 3-5,Health & Sports,"Health & Wellness, Nutrition Education",Snack it to Me,"I have an eager bunch of upcoming 5th graders this year. I teach at a Title 1 school in which about 90% of the student body is Hispanic and come from low income homes. In order to make every teachable moment meaningful, hands on supplies are needed. However, this means that I need to pull money out of my own pocket to purchase enough supplies for 34 students. This can be difficult to do multiple times during the school year. Any donation would brighten up their studies this school year.","My students need snacks such as water, pretzels, and gold fish to help them get through the first few days of the brand new school year.",4,0
Mrs.,CA,Grades 3-5,Music & The Arts,"Performing Arts, Visual Arts",Creative Spaces for Creative Learners!,"\""Being creative is not a hobby, but a way of life.\""  Wouldn't it be a wonderful classroom if students could choose the seating style that fits their learning? When I began moving desks around to allow for group collaboration and places for art and filming to occur my kids were thrilled!",My students need seating options to provide various opportunities for learning.  These  options will allow my students to do their most creative work.,3,0
Mrs.,CA,Grades PreK-2,"Literacy & Language, Special Needs","Literacy, Special Needs",Listening Center for Special Little Learners,"The students in my Autism Preschool classroom in the Central Valley of California are just beginning their learning journey. They are hard working, busy, energetic explorers! They keep me on my toes for sure, but the joy of seeing their 3 and 4 year old faces light up when they've learned something new, is worth every penny, every late night, and every struggle we've overcome together.\r\nMy students are fragile learners with varying ABLE-ities; many come to my class non-verbal, so giving them access to language building opportunities to help them find their voice is a BIG priority. \r\nSince my classroom is their first school experience, and my district is in an impoverished area, I want to give my students opportunities they would not have otherwise.  My class is an exciting place where they work on regulating their emotions, building language, social, and self help skills daily, all while learning their ABC's & 123's! \r\nThank you for helping the littlest learners!","My students need a listening center & books on CD to build their language skills, for an independent work station, & as a calm down strategy to self regulate!",0,1
Mrs.,CA,Grades 3-5,"Applied Learning, Literacy & Language","Character Education, Literacy",Reading is the Key to Academic Success! CHAPTER BOOKS=LEARNING.,"I want to bring reading to life for my 5th graders.  My students are low income, Title 1, migrant workers and from military families.  Many are from single parent homes or have 1 parent deployed.  I want to help them close the gap between their socioeconomic status and those of more affluent students which can impact their reading levels.  Books can help them escape and forget that a parent is gone, that family is far away or their lack of material things. Reading books that they enjoy, not just those assigned to them, is the key to help nurture their personal and academic growth.",My students need engaging chapter books that will help them become life long readers!,0,1
Mrs.,TX,Grades 3-5,Math & Science,"Applied Sciences, Mathematics",TechnoMath & Science Power,"As a teacher at a low-income/high poverty school, our students are faced with many challenges. These students not only have to deal with these challenges at school but at home as well. I like to try and keep things in a positive light for my students. These students need to see that they can be and will be successful if they put all their effort in to doing it.\r\n\r\nMy students are very loving, kind, energetic and just love to learn! These students make strides everyday. They are always willing to learn but not always willing to put themselves forward for the chance they might fail. I try to instill in them that everyone fails. Failure is how we learn new things. It is ok to fail and try again. It is not ok to not try or to fail and give up. Our class motto is fail until we succeed and once we succeed we push ourselves even harder.",My students need Ipads and covers for math & science class.,1,0
Mrs.,PA,Grades PreK-2,Literacy & Language,"ESL, Literacy",Let's Get Connected!!!,"They are working to understand the importance of being a scholar of learning. Our Kindergarten class stresses their intelligence , being a good citizen, and always being honest.\r\n As a teacher and a model I constantly stress to the children that regardless of their communities or where you come from they will do great things with the support and guidance of those who see their greatness.\r\nIn our school, we see our children as scholars and express to them that they are our future leaders \r\n",My students need tablets to help with small group Reading/Literacy instruction,1,1
Mrs.,CA,Grades 3-5,"Literacy & Language, Special Needs","Literacy, Special Needs","Literacy, Proficiency and Achievement Through Technology",I teach at a school which has a very diverse population and a high level of low income families. I believe each child at my school should have access to curriculum that is appropriate for their level.  This is why I teach the Read180 for 5th grade students at my school.  All of my students are struggling readers who read below grade level.  My primary goal is to bring each and everyone of these students up to grade level before the end of the school year.  \r\nBefore my school district adopted Read180 these students struggled in  in every subject because they could not read at grade level standard. The Read180 has helped our students become proficient readers and gain the confidence to be successful in all their content areas.,"My students need Logitech - H390 USB Headset with Noise-Canceling Microphone to use with their reading intervention software, READ180.",1,1
Ms.,MD,Grades PreK-2,"Literacy & Language, Special Needs","Literacy, Special Needs",iPads Please! We want to be the Connected Kinders!,"Technology is woven into every aspect of life. It is how we work, play, learn, communicate, shop, and share information. So the importance of integrating technology in the classroom just makes sense. \r\n\r\nMy students walk into our classroom each day full of life and eager to learn. They are dreamers, thinkers, talkers, and questioners.  My 21 students come from various cultural backgrounds creating a unique and diverse classroom. Many of my students come from low socioeconomic households and lack access to technology in their homes. I want to provide my students with the opportunity to integrate technology devices like the iPad into the classroom to open up a whole new world of engagement, personalized learning, and collaboration in the classroom. Our school also has a large ELL population and high needs for differentiation. The implementation of an iPad can enhance the listening, literacy, and speaking proficiency of English language of ELL students.","My students need two iPads to enhance and build their early literacy, math, and technology skills.",0,1
Mrs.,OK,Grades 3-5,"Warmth, Care & Hunger","Warmth, Care & Hunger","Stomach Bug, Flu, Viruses, OH MY!",Many students at my school visit the medical clinic located on campus each day for a variety of reasons. The medical clinic is a safe place for them to come to when they do not feel well and know that they can take time to rest as needed or call home when necessary. \r\nOur school is located in an urban setting in Oklahoma and has about 600 students enrolled. 83% of the students are minority and from low-income families whose parents often work multiple jobs. Our school is Title I with 100% on the free lunch program.\r\nWe are expecting an increase of total student population in the next school year. I am anticipating the clinic numbers to increase as well. Being prepared for this increase in number is my goal to meet the needs of the students.\r\n,My students need a place to rest and privacy when they are sick and need to wait for their parents to pick them up from the school clinic.,0,1
Mrs.,WI,Grades 3-5,Math & Science,"Applied Sciences, Mathematics",It's All About the STEM,"My students come into class with an energy to learn.  They enjoy being challenged.  Most of my students are from low income families, which makes it difficult for them to have the supplies they need to achieve their goals in life.  \r\n   \r\n  These student are anxious to learn.  But the resources and material our school has are limited.   Without the needed resources our students are fallen behind the national average.  My goal is to give my students the ability to succeed, but I am also limited on funds.",My students need more resources in the area of science.  They have limited material for hands-on activities that can spark they creativity.,3,0
Mrs.,IA,Grades 3-5,Health & Sports,Team Sports,Playing is Learning,"The kids at our school are special because they are seriously hard-working kids.  They put everything they have into everything they do - especially recess!  Inside the classroom, kids have goals they keep in mind to keep them focused.  If it's a math facts goal, a reading words per minute goal, an assessment goal, they are always working hard.  \r\nThese kids come to school energized and reading to learn!  When the kids are motivated, it is really fun to teach!","My students need new basketballs, footballs, and soccer balls to play with on the playground.",2,1
Ms.,NV,Grades PreK-2,"Literacy & Language, Music & The Arts","Literacy, Visual Arts",Hands On Literature and Learning!,"My students are members of a school community that is in an upswing. We have brand new administration and nearly all new staff with a dedication to serving the highest poverty area in our metropolitan city. We have implemented many new strategies and are seeing immense growth as a school as we approach our second year together. \r\n\r\nMy goal for my kindergarteners is to have them all reading above grade level before they leave my classroom. I want them to enter first grade prepared for success as readers. Without a solid literary foundation, students will struggle to learn throughout their entire educational career. I will not allow my students to fail. Because of this, I have to get very creative with the limited resources (and funds) that I have. English is not the first language for many of my students, so their exposure to literature in English is especially important as they learn a second language at only 5 or 6 years old.","My students need modeling foam, kinetic sand, dough, paint, stamps and stencils to enjoy kinesthetic experiences as they learn to read!",4,1
Mrs.,CA,Grades 3-5,"Literacy & Language, Math & Science","Literature & Writing, Mathematics",Help My Students Become 21st Century Prepared!,"Majority of my students qualify to receive free breakfast, free lunch, and food backpacks through supportive programs. Many households are in survival mode and don't have access to computer usage for their child. Their parents also can't afford to buy them their own books for home use, nor do some have the transportation or access needed for visiting the local library for books or technology. \r\nAs we are in the 21st Century of growing technology, I feel it is important to get technology into the hands of my students. My students are eager to explore and learn when given high expectations and open-ended inquiry. They are all unique in their own ways and deserve ample opportunities to learn equal to any other child, regardless of economic advantages or disadvantages.   \r\n\r\n",My students need Chromebooks in their hands on a daily basis!,2,0
Ms.,NC,Grades PreK-2,Special Needs,Special Needs,Teaching Communication with Games is Fun!,"I am a Speech Therapist and I work in a school that serves children with moderate to severe cognitive and physical disabilities. I have a caseload of 60 amazing students. They have various communication and learning needs. With the classroom teachers, I spend most of my time trying to find a way to teach our students as much practical language as they can learn and express. I work with amazing teachers who put 150% into all that they do and I supplement their teaching with expertise about communication and direct service to students in both one on one, small group, and classroom language lessons.",My students need games! Students with disabilities and communication deficits needs to learn turn-taking and reciprocity and these simple and exciting games are just what we need.,17,0
Mrs.,CA,Grades 3-5,Math & Science,Environmental Science,Growing Earth Day Enthusiasts One Student at a Time!,"Our students are the future scientists, inventors, leaders, teachers, pillars of the community and so much more! They come to school eager to learn in classrooms with teachers who are eager to teach. We want our kids to succeed regardless of our status as a Title I school. \r\n\r\nWe are a multicultural population with a goal of creating positive experiences at school that will follow our students throughout life. We have an active parent-teacher organization that strives to find creative ways to enhance the educational experience. Our students take pride in their achievements, whether in the classroom or in community activities like sports and community theater. We encourage students to be the best version of themselves, and it shows.","My students need Earth Day themed books, like Happy Earth Day! and Take Care of the Earth Every Day in order to instill in them a sense of responsibility for our planet.",3,0
Mr.,CA,Grades 6-8,Music & The Arts,Music,String Players Need Shoulder Rests,"I'm happy and excited that I get to teach in a classroom where students love what they learn! My students are smart and talented, and they love to learn about and perform music. I'm excited about what the future has in store for the musicians at my school, but we need accessories to be our best.",My students need shoulder rests to help them play their violins even better,2,1
Mrs.,PA,Grades PreK-2,Literacy & Language,Literacy,Listen to Reading!,"My kindergarten classroom consists of 21 (and counting) smart, eager and energetic 5 and 6 year olds who are such hard workers!  We are a low income inner city school district with many bilingual students and families.  My classroom also consists of several learning support, ELA and students with speech delays.  This group of students loves to listen to stories and use technology!!  They all have such a bright future and deserve to have every learning opportunity within the classroom.\r\n",My students need a working listening center and books on cd to help their literacy skills!,1,1
Ms.,CA,Grades PreK-2,Literacy & Language,ESL,Sensory toys keep us calm and ready to LEARN!,Our classroom is a Primary Program for students with Autism who are on the Alternate Curriculum. Our program serves students with moderate to severe disabilities. Our students also have speech and language delay and are English Language Learners. Our students have significant delays in fine motor and gross motor skills.\r\nOur school is located in an area of extreme poverty in the East Los Angeles  area and all of the students qualify for free lunch program in a title 1 school.,My students need materials that help them with their sensory needs.,0,0
Mrs.,CA,Grades 6-8,"Applied Learning, Math & Science","College & Career Prep, Health & Life Science",Presenting in Color,"are fighters and award winners! Last year our school won the distinguished Gold Ribbon School award. This award didn't come easy.  We have hardworking and dedicated families at our school who yearn for a better life. \r\n\r\nComing from a high poverty neighborhood, academic success is crucial to the well-being of kids and their families. Our school strives to give our students the basic needs, such as breakfast and lunch, family counseling, a virtual dentist, clothes and school supplies. Yet, just because our kids come from poverty, doesn't mean they don't deserve the latest technology and the means to learn the key 21st century skills that will lead to success. \r\n  \r\n","My students need a color printer, ink, presentation pointer, and microphone in order to gain 21st century communication and presentation skills.",6,0
Mrs.,TX,Grades PreK-2,"Math & Science, Special Needs","Health & Life Science, Special Needs",Dual language learners need resources to learn.,"Our students  do not have the necessary materials to succeed, coming from a low income/high poverty school district. Also my students are faced with several challenges both in and out of the classroom. Despite the many challenges they face, they come to school motivated to learn, so it is my commitment that instead of them receiving  poor or inadequate reading instruction, they get the best reading instruction to close the achievement gap. Then I am looking to keep things simple and provide my students with creative ways to succeed in reading!\r\n",My students need a white board instead of a chalk board to decrease allergies and asthma. Also my students are in a dual language program so they need English-Spanish dictionaries. A microscope and slides for science.,2,0
Mrs.,NC,Grades 3-5,Math & Science,Applied Sciences,Dress Like a Scientist; Become a Scientist!!!,"My students  mainly come from economically disadvantaged homes.  Many lack the life experience that would help them to be confident, successful learners.  Often, they do not know of or have family members in STEM careers.  However, what my students do have is courage and curiosity.  If this can be tapped into, there is no telling what they might achieve!\r\n\r\n I want my science and math students to be able to visualize themselves succeeding in these subjects, thus opening the door to college and higher paying STEM jobs where they can escape the cycle of poverty.",My students need lab coats in different sizes for science class.,0,1
Ms.,NY,Grades 3-5,Health & Sports,"Health & Wellness, Nutrition Education",Fruit Smoothie Fridays,"The Philippines, China, and Russia are just a few of the countries that represent the students of my class.  Our school is situated in a Queens, which is one of the most diverse boroughs in New York City.\r\n I am always looking for ways to stimulate their interest while keeping learning exciting and educational.\r\n My kids enjoy learning and doing hands on projects. When they work together in groups it helps to foster a sense of community in the classroom.",My students need five Nutribullets blenders so that they will be able to create healthy and delicious smoothies to enjoy in class and learn the benefits of healthy eating.,0,1
Mrs.,CA,Grades 6-8,Math & Science,Mathematics,Help!  Our Mice Have Run Away!,"\""Human progress is neither automatic nor inevitable.... Every step toward the goal of justice requires sacrifice, suffering, and struggle; the tireless exertions and passionate concern of dedicated individuals.\"" ~Martin Luther King, Jr \r\n\r\nMy school is a challenging campus as we draw from a variety of socioeconomic and ethnically diverse groups.  On my campus there are a large number of students who will be first-time, college bound students--some of them first time, high school graduates in their families! What a tribute to their families! My students have the drive to learn, to achieve, and to succeed enough to get them into college. All they need to succeed is dedication along with a guide to help them learn how to study, how to be proud of their work and have confidence in themselves!",My students need 8 mouse to make their computer access easier.,57,1
Mrs.,FL,Grades 3-5,Music & The Arts,Performing Arts,Tigers Sound Off with Bose!,"I teach at a Pre-K through 5th-grade elementary school in North Miami. Many of my students have never had the opportunity to play an instrument and this is quite unfortunate. I was able to have several projects funded throughout the years that allowed me to extend my program in terms of strings, percussion, and recorders. Since 2012, I have managed my music program using materials from DonorsChoose projects but now in 2017, help is once again needed.\r\nMy school has a high number of students who are ESOL, ELL and there are a few who are SPED and gifted.\r\nEven though we have to cater for and adapt to such a wide range of learning needs, we know that all children will learn if given the right tools and technology (and teachers who care).\r\n",My students need speakers to amplify band instruments when performing outdoors.,26,1
Ms.,CA,Grades PreK-2,"Math & Science, Literacy & Language","Applied Sciences, Literature & Writing",Getting Ready for the 21st Century Classroom,"My students are amazing! Well I have not met them yet but I know they will be exuberant, excited to learn and energetic. 2nd graders are always ready to learn and willing to try. I plan on bringing my best to help bring out their best. They are Title 1 low income students. They come to school early. They eat a school provided breakfast and lunch.  Most of them stay in after school care until 6 p.m.  It's their home away from home.",My students need tl to learn how to use Google Classroom tools on a Google ready Chromebook in order to work collaboratively using Google docs to be ready for 21st century projects.,15,1
Mr.,TX,Grades 3-5,Health & Sports,"Gym & Fitness, Team Sports",Move It!  Shake It!,I teach 600 kids physical education daily. In our school we serve pre-K through 5th grade students in a low socio-economical area. Our school is a Title I school and our entire school population receives free lunch and breakfast daily.\r\n   \r\nMy students are full of life and energy.   They love to be outside and are eager to learn new sports. Currently we are lacking volley balls for students.  My students have a strong desire to play volleyball but lack the equipment to participate.,"My students need a parachute, a ball rack and beanbags to use in physical education class.",6,1
Ms.,SC,Grades 3-5,"Math & Science, Applied Learning","Applied Sciences, Extracurricular",Making it happen with Mindstorms,"Our school is located in a rapidly growing suburb in South Carolina. So far, our school has 800 students, but with all the development in our town, that number is bound to keep growing! Despite the high growth rate in our area, our school community has managed to stay tight-knit. \r\n \r\nOur school family strives to create a place where the children feel safe and comfortable to be themselves, take chances, make mistakes, and, subsequently, learn! Our students are learning to work collaboratively and stretch their imaginations.  They are kindergartners through fifth graders, roughly 5-10 years old.",My students need Ev3 Mindstorm robots for all students to use in the media center makerspace and for an official school First Lego League team that meets afterschool.,3,1
Mrs.,CA,Grades PreK-2,Literacy & Language,"Literacy, Literature & Writing",We Need Ink!,My students are a very special group of eager Transitional Kindergarten (TK)  students.  We are located in an unincorporated area which has a very dense population of students and families.  Over 90% of our students receive free lunch as well as breakfast.The majority of our students are English language learners.  Our school is a large school with over 800 students.\r\n\r\nOur students see our school as a safe learning space where they enjoy coming to learn and grow.  As their teacher I know the importance of creating life-long learners.,My students need a new Lexmark toner cartridge  so that we will be able to print and display classroom  projects and prepare homework packets and  student materials.,19,1
Mrs.,CA,Grades PreK-2,"Health & Sports, Music & The Arts","Gym & Fitness, Visual Arts",Rainy Day Recess Fun,"My students are from a small community in Northern California.  They are amazing kids from working class families.  Like most kids in 2nd grade, they love school!    They are motivated, driven and are eager to succeed.  \r\n\r\nMy students work so hard!  We are a close community with lots of family involvement.  I have 25 students and as the year progresses, it is amazing to see them come together and support and motivate each other.  As a teacher, I strive to meet my students where they are academically and to support and encourage the celebration of diversity present in our school.",My students need some hands-on things to do when we have rainy day recess!,8,0
Mrs.,IA,Grades PreK-2,Literacy & Language,Literacy,Catapult into the 21st Century with NON-FICTION Books!,"The favorite activity in our second grade classroom is, by far, reading! We love all sorts of reading: adventures, mysteries, history, comedy, fiction, nonfiction, poetry, science fiction, comics, and more.\r\n\r\nMy students come from all sorts of backgrounds and over 70% of them receive free lunch, but I make absolutely no excuses for them!  It is important to instill the love of reading in all of my students. Every day is a new day to learn and grow in my classroom!",My students need non-fiction books at all different reading levels to catapult them into the 21st century reading skills and open their world to the historical adventures and important moments in time.,6,1
Ms.,TN,Grades PreK-2,"Applied Learning, Literacy & Language","Character Education, Literacy",Keep Calm and Kindergarten,"My students are enthusiastic kindergarteners who love to move, play, learn, and create! We are in a high poverty, inner city school with over 95% of students receiving free and reduced lunches. \r\nMany of my students come to school hungry - for food, stability, affection, acceptance, safety, knowledge, or all of the above.  Despite the difficulties they face outside of school, these 5-year-olds never cease to surpass my high expectations. Their smiles brighten our classroom, and their resilience is truly astounding. \r\n",My students need tools to help them express their emotions and a safe place to calm down in the classroom.,0,0
Mrs.,TN,Grades 6-8,Literacy & Language,Literature & Writing,Organizational Files,Our school is a K - 8 high poverty school where all students receive free breakfast and lunch.  Our students come from families who are very low on funds and most come to school with little or no supplies.  It is a constant struggle to make sure our students have what they need for class and so is helping them learn to be organized and responsible.  Organization is a big part of responsibility and accountability which also ties into life lessons.  Life lessons are taught to students every day and most times they don't even realize it.,My students need a 3 drawer lateral filing cabinet for file folders.,10,1
Ms.,PA,Grades PreK-2,Literacy & Language,"ESL, Literacy",Multicultural Rug for Diverse Learners,"\r\nMy second graders come from all over the world. They each bring their own unique talents and experiences to the classroom, and are incredibly excited about learning. \r\n\r\nAs we read stories they are constantly examining the illustrations and making observations that they are eager to share with one another. They are always asking questions, wondering why things work the way they do, or how things come about. They love working together with one another, and encouraging each other to become leaders!",My students need a rug for everyone to sit and learn together.,3,1
Mr.,IL,Grades 6-8,"Math & Science, Applied Learning","Applied Sciences, College & Career Prep",Let them make light! And not ONLY!,"My design classroom is a high energy environment that focuses on teaching critical thinking, problem solving, and creativity to our future engineers, fashion designers, chefs, architects, and computer scientists through various real world STEAM projects. My design students are in grades 6-8th and all reside within the City of Chicago. A majority of them come from underprivileged neighborhoods with high rates of poverty. Over 90% of our students come from low income families. We are a Title I school. \r\n\r\nMy young designers are extremely creative and the sky is their only limit. Since the beginning of the Design program at my school, I have seen these students overcome many challenges and persevere through the hardest projects. They do it with a smile on their face because they greatly appreciate all of the learning opportunities that they have through the IB curriculum and MYP Design program at our school. \r\n\r\nTheir approach to creating and innovating is truly inspiring as they are not afraid to let go and always dive right in. In the end, they always end up with amazing products and solutions that showcase their Design Thinking and outstanding technical skills. \r\n","My students need an electronics kit with various components, additional items including sockets, wires, battery clips, bulbs, as well as appropriate guiding literature that they can use to learn more about designing products which incorporate electronics.",8,0
Mrs.,IN,Grades 9-12,Music & The Arts,Music,Choir Consumables: Chorister's Cache,"My singers come from diverse backgrounds and attend a large urban high school of more than 3800 students. More than 60 percent of our school qualifies for free and reduced lunch. Approximately 30 percent of our school are English Language Learners including a large refugee population.  Many students are not able to pay choir fees or provide their own supplies due to finances. As teachers we strive to provide almost everything that the choirs students will need for performances so that all 450 singers can participate with pride. Many of the students have language barriers making it hard to communicate with parents regarding costume needs. Although we have great parent support, it is not possible for parents to pay or donate all the items needed to equip a choral program with more than 450 singers. Our choirs provide a community and global connection for our students. They are very proud of their performances and want to look and feel their best on stage.\r\n","My students need consumable items for choir performances and competitions throughout the year. The requested items listed are costume basics such as hangers, socks, sewing supplies, safety and bobby pins, costume protectors and organizational tools.",23,1
Ms.,TN,Grades 3-5,Health & Sports,Health & Wellness,Activate the Brawn to Activate the Brain,"The twenty students in Room 106 represent a varied assortment of unique characters. With a breakdown of thirteen boys and seven girls, just our gender disparity makes us more noticeable as we move the hallways.\r\n      Our class includes two students with limited use of at least one limb, students who are coping with emotional issues and/or academic delays, as well as some students who are English Language Learners. Additionally, the ages in our class range from seven years ten months to students who have are well past nine years of age. While that difference may not appear to be significant, it seems to highlight some disparities in gross motor and fine motor skills among the students.\r\n     Nevertheless, these twenty students are quick to help one another with whatever struggle their classmates may be experiencing. They are ready with a shoulder or a hug or just some assistance with classwork. They are truly a unique bunch!","My students need a variety of physical movement items, such as the cups stacker and exercise balls, which will not only benefit their health, but will also increase their fine motor and gross motor skills.",0,0
Mrs.,CA,Grades PreK-2,Math & Science,"Applied Sciences, Mathematics",Robots + Coding + Critical Thinking = Success & FUN!,"I have a group of eager, excited, and innovative second grade students. We have thus far created optional family STEM projects, in-class STEM projects creating a toy that demonstrates motion or sound, and other exciting hands-on projects. It is during these times that I am most excited as a teacher. As I stand back, I am seeing students engrossed in what they are doing, communicating their ideas and problem solving together, and best of all - they don't realize they are learning! My students have such a thirst for problem solving, critical thinking, and having fun while learning that I cannot think of a better addition to our classroom right now than Ozobots!","My students need ozobots to give them the opportunity to exercise their critical thinking skills, interpersonal skills, and develop coding skills.",1,1
Mrs.,SC,Grades 9-12,Literacy & Language,"Literacy, Literature & Writing","\""Not All Who Wander Are Lost\""J.R.R.Tolkien","The students at PALM Charter High School are unique. They have a love for automobiles of all shapes and sizes. The students choose to come to PALM because PALM gives them what they love: racing, welding, body shop, graphics.  My students need high interest, hands-on, relatable texts. They enjoy automobiles, hunting, fishing, mud bogging, and the beach. These books allow my students to engage which allows them to engage, to become fluent, and to increase their ability to comprehend texts.",My students need high-interest texts to increase their engagement and foster learning.,2,1
Mrs.,FL,Grades PreK-2,Literacy & Language,Literacy,Technology Rocks!,"My classroom is a mixture of students performing on grade level and below grade level. The school is located in a low socioeconomic neighborhood. All students receive free lunch. Many do not receive support from home, and I am the only constant in their lives. The poverty level at my school is high with many parents not working and some not even involved in their children's lives. In my classroom, all students are treated equally and all will succeed this year!",My students need 2 additional Fire tablets to use to continue research assignments and use for additional support in reading & math centers.,2,0
Ms.,NC,Grades PreK-2,Literacy & Language,Literacy,Listening Opens Your Mind,I work at a low income/high poverty school so the students are faced with many challenges at a very young age. They have to overcome these challenges at school and at home. They light up when they own something of their own or have the opportunity to experience new things. They also love school and the love/attention they get from their teacher and other adults. \r\n\r\nThey are always excited and ready to learn! I want to give them the best opportunity they can get with providing them the supplies and things they need to have a wonderful school year!,"My students need i headphones, a boombox, and books/CDs for a listening center.",3,0
Ms.,MN,Grades 3-5,"Applied Learning, Special Needs","Character Education, Special Needs","Social Skills, Game On!","My students come from a wide variety of backgrounds. We are a small charter school located in the heart of St Paul's Frog town area,  and we are 95 percent free/reduced lunch. \r\nI work with an amazing bunch of special education children eager to experience and learn about the world around them.  Our special education classroom is made up of twenty-four fluctuating students with a variety of abilities and skill levels creating an energetic, persistence of fun love for learning! Every day is a new day, we can not wait to dive in!\r\n\r\n","My students need games, brain challenging activities and sensory items that they can play with peers to build social skills within our special education classroom.",5,0
Ms.,CA,Grades 6-8,"Literacy & Language, Math & Science","Literacy, Mathematics",Mag-Amazing Reading in our Library,"I currently work as the Teacher Librarian in an inner city middle school, with  grades 6-8th . My students love coming to the library to read, research and work on homework. Learning is always taking place in one form or another. \r\n\r\nMy students represent all kinds of diverse  learners that are constantly growing and changing into independent thinkers.  For many of them English is their second language and they represent the first generation receiving a formal education in this county.  \r\n\r\nOur school offers a strong academic programs that seek to empower and prepare our students to become strong leaders in our community. My goal is to provide a safe enriching environment where my students can love to learn. \r\n\r\n",My students need magazines that will hook them into reading. I want them to find interesting short articles that will motivate them to continue learning about a given topic.,6,1
Mrs.,FL,Grades PreK-2,Applied Learning,"Character Education, Early Development",Exploration Helps Us Grow!,"I work at an International Magnet School that implements the International Baccalaureate (IB) Primary Years Programme (PYP). \r\n\r\nOur learning is based on inquiry. So, in my classroom, students are constantly exploring, questioning and problem solving. They learn through hands-on exploration and cooperative learning. \r\n\r\nThey absolutely LOVE to read and are crazy about technology. Most of my students are high achievers and are already reading in Kindergarten!  I am looking for ways to enrich my students and push them beyond the traditional Kindergarten curriculum. \r\n",My students need materials for imaginative play time to build social and fine motor skills.,3,0
Mrs.,IL,Grades 9-12,Health & Sports,Health & Wellness,"We Need to Move It, Move It! Part 2","The student-centered Alternative Learning Program (ALPS) supports and embraces the diverse needs of students by providing a differentiated method of instruction and by supporting the emotional and social needs of students in this special education program. The mission of the ALPS program is to meet the unique educational, social, and emotional needs of our students with emotional disabilities and mental illnesses in a safe and nurturing environment. Most students in this program are from families that fall in the poverty range and have little experience with technology outside of the educational setting. Students living in poverty often do not have life experiences necessary to learn these skills, making the transition to adulthood and independence more difficult.",My students need activities and materials to get them up and moving during the school day!,28,0
Mrs.,WA,Grades PreK-2,Math & Science,Environmental Science,Reading About Science!,"My students are part of an innovative program where the focus is building a community that will support each and every learner. Our focus is development of the whole child. Students are encouraged to see each person's strengths and recognizing what we can share with each other.\r\nThis program integrates the curriculum and encourages children to respond to their learning by working together on projects that they can then share. This helps develop social skills and encouraged children to have a greater understanding of how all things work together, not in isolation. \r\nWe encourage students to practice language skills through material focused on learning more about science or other subjects of interest. Our classroom library is very lacking and we need more books on a variety of topics and at varied reading levels.\r\nBy increasing our classroom library, students will be able to work with material readily available when the interest arises and not have to wait to go to the school or public library.",My students need a science library that they are able to read independently and that fits with their interests. We are asking for books and collections relevant to our solar system and earth.,4,1
Mr.,CA,Grades 3-5,Music & The Arts,Music,Inner-city Students Need More Xylophones to Study Music,"My students live in a high crime rate, low income, inner-city neighborhood... they're great great kids, but lack opportunities other than  a poorly funded school and the local gangs.\r\n\r\nMany of our students are foster children and/or come from dysfunctional or broken homes.  They need motivation and encouragement and have a hard time trusting and believing that anyone cares... by providing them with music instruction before during and after school without pay or funding, they begin to trust and become motivated to learn and engage themselves during the school day.",My students need more xylophones to accommodate the size of my class.,11,1
Ms.,NV,Grades PreK-2,Literacy & Language,Literature & Writing,Future Minds of America,"My first graders are six or seven years old. \r\nThey are imaginative and creative. They are warm-hearted, and will brighten your day when you are having the worst day. They greet you with smiles and eyes full of wonder. The children are of Hispanic descent. The majority of them are English language learners. They attend a school located in a high poverty area. ALL students at our school receive free breakfast and lunch. We can promote technological literacy as early as first grade! \r\n\r\n",My students need three Chromebooks to support their learning in our classroom.,29,1
Mrs.,IL,Grades 3-5,"Health & Sports, Math & Science","Health & Wellness, Mathematics",Active Imaginations Need to MOVE II.,"My students are active learners with wild imaginations!  In my classroom my scholars are always hard at work, thinking of their next question to stump their teacher. My students care about each other and have worked really hard to build an amazing classroom community. \r\n\r\nThis year, my students are very active learners, who require movement to focus and be engaged in our learning.   Last year, I received a generous grant from our PTO for 6 wobble chairs, however, 6 is simply not enough. We have been practicing our problem solving skills, but kids are constantly wanting these chairs!    We love having the opportunity to get up and move to learn. \r\n\r\n\r\n","My students need the opportunity to move.   We would love to Wobble on Kore wobble chairs to increase focus.  We'd also love to be able to learn with hands on, interactive tools!",3,0
